lat,lon,census_tract
30.2658524,-97.7385855,1100
30.266782,-97.738247,001100
30.2668634,-97.7381057,001100
30.2670512,-97.7379995,001100
30.2607118,-97.7281763,000902
30.2611925,-97.7274185,000902
30.2658244,-97.7421904,001100
30.2678638,-97.7375115,001100
30.2661534,-97.7396808,001100
30.267582,-97.740155,001100
30.2656502,-97.7341674,000902
30.2619349,-97.7276037,000902
30.268065,-97.7424043,001100
30.2663927,-97.7362596,001100
30.2680679,-97.7428199,001100
30.2680197,-97.7389915,001100
30.267771,-97.736955,001100
30.2673915,-97.7390604,001100
30.2567106,-97.7274511,001000
30.2612203,-97.7367715,001100
30.2679472,-97.7338972,000901
30.5048207,-97.8126215,020313
30.2674226,-97.7368247,001100
30.2658909,-97.7350274,001100
30.270743,-97.754824,001200
30.2677242,-97.7343556,001100
30.265843,-97.7385889,001100
30.267068,-97.739335,001100
30.2654574,-97.7335685,000902
30.2657038,-97.7352815,001100
30.3033553,-97.7146281,000304
30.2686309,-97.7431606,001100
30.2708576,-97.7417729,001100
30.2651248,-97.7325232,000902
30.2656768,-97.7391251,001100
30.2651723,-97.7334166,000902
30.2639341,-97.7422852,001100
30.2643235,-97.7442097,001100
30.2678743,-97.7411186,001100
30.2657166,-97.7484394,001100
30.2740679,-97.7366044,000700
30.272444,-97.7349771,000700
30.3268752,-97.7068655,001503
30.26558,-97.744191,001100
30.2610208,-97.7357813,000902
30.2606846,-97.7288218,000902
37.9417916,-96.7513912,020100
30.2668223,-97.7346772,001100
30.2676817,-97.741483,001100
30.2673868,-97.7404088,001100
30.268066,-97.742813,001100
30.2702192,-97.7422188,001100
30.2682647,-97.7425372,001100
30.266958,-97.739939,001100
30.2723845,-97.7456038,001100
30.2682957,-97.739019,001100
30.2673505,-97.7346891,001100
30.2679079,-97.7363869,001100
30.2663488,-97.7351731,001100
30.270684,-97.7616357,001200
30.267576,-97.740077,001100
30.2758069,-97.7360923,000700
30.2671174,-97.743156,001100
30.2665143,-97.7338529,000902
30.2653478,-97.7355471,001100
30.943379,-97.5400244,023403
30.2674769,-97.7349654,001100
30.2723033,-97.7334223,000700
30.2713309,-97.7528954,001200
30.2670998,-97.7402062,001100
30.2679291,-97.7413846,001100
30.2648638,-97.7486847,001100
30.265325,-97.7436589,001100
30.9483849,-97.5392368,023403
30.2669225,-97.74358,001100
30.2712128,-97.742222,001100
30.2675049,-97.7335121,000901
30.2611972,-97.7274164,000902
30.2678235,-97.7408427,001100
30.2934511,-97.7421583,000603
30.2518902,-97.7227868,001000
30.2618385,-97.7370015,001100
30.266756,-97.7418369,001100
30.2665735,-97.7448523,001100
30.2708146,-97.7506641,001100
30.2751181,-97.7350959,000700
30.266475,-97.7371869,001100
30.2671559,-97.7386891,001100
30.2619079,-97.727264,000902
30.2678099,-97.7406942,001100
30.2674975,-97.7397287,001100
30.2665706,-97.7349548,001100
30.2699197,-97.7421066,001100
30.2615526,-97.7375406,001100
30.2699299,-97.7410312,001100
30.2652644,-97.7438459,001100
30.2773409,-97.7667436,001200
30.2665637,-97.7526626,001200
30.2708998,-97.7456002,001100
30.2708536,-97.7417589,001100
30.264751,-97.737249,001100
30.8529411,-97.5906901,021601
30.2636608,-97.739615,001100
30.2672368,-97.7393269,001100
30.2685138,-97.7422326,001100
30.2672891,-97.7373842,001100
30.2702813,-97.7416915,001100
30.2639914,-97.7460816,001100
30.268585,-97.7422246,001100
30.2655492,-97.7466255,001100
30.2701838,-97.7403787,001100
30.2673971,-97.740405,001100
30.2663066,-97.7358631,001100
31.0502623,-97.4584622,021500
30.2697161,-97.7402698,001100
30.2658397,-97.7354604,001100
30.2680443,-97.7435133,001100
30.267507,-97.739723,001100
30.2641192,-97.7292582,000902
30.2631379,-97.7299288,000902
30.2683258,-97.7347183,001100
30.2633143,-97.7294892,000902
30.2635063,-97.7362687,001100
30.2673804,-97.7434102,001100
30.2705783,-97.7444989,001100
30.2636644,-97.7372921,001100
30.2694661,-97.7376812,001100
30.267853,-97.7378913,001100
30.2672513,-97.740673,001100
30.2648019,-97.7445985,001100
30.2585714,-97.7288984,001000
30.2707391,-97.7460627,001100
30.268639,-97.737563,001100
30.2689837,-97.7350027,001100
30.2664806,-97.7438558,001100
30.2643163,-97.7441836,001100
30.2703623,-97.7414581,001100
30.2655301,-97.7442077,001100
30.267012,-97.7417425,001100
30.268966,-97.7424719,001100
30.2603848,-97.7333317,000902
30.2648929,-97.7348636,000902
30.266405,-97.7300659,000901
30.2683562,-97.7364988,001100
30.2693858,-97.7390392,001100
30.9539496,-97.5375641,023403
30.2681613,-97.7347532,001100
30.2666026,-97.7368749,001100
30.2916104,-97.7226924,000401
30.2666132,-97.7372013,001100
30.264954,-97.7456859,001100
30.2652611,-97.7438337,001100
30.267535,-97.739827,001100
30.2662006,-97.7434879,001100
30.2686238,-97.7395929,001100
30.2667942,-97.7409341,001100
30.2683569,-97.7365015,001100
30.4012811,-97.6755515,001826
30.2665765,-97.7338578,000901
30.2641287,-97.7469908,001100
30.2689471,-97.7403971,001100
30.2665385,-97.7330347,000901
30.2661118,-97.7330559,000902
30.2668838,-97.7379889,001100
30.2670127,-97.7401637,001100
30.2677092,-97.7405032,001100
30.2653491,-97.7355667,001100
30.2654034,-97.7353749,001100
30.2672791,-97.7375539,001100
30.2674254,-97.7368346,001100
30.2652412,-97.7400282,001100
